"strain","country","state","date","latitude","longitude","region","num_date"
"East_Timor|NA|KY275202|D2/Timor/033/2011|Dengue_2|E|External|2011-02-15|2011.12328767123","East_Timor","NA","2011-02-15",-8.7443169,126.063482,"SEA",2011
"Malaysia|NA|KJ806783|SG(EHI)D2/27898Y13|Dengue_2|E|External|2013-06-15|2013.45205479452","Malaysia","NA","2013-06-15",4.5693754,102.2656823,"SEA",2013
"Singapore|NA|MW512386|SG(EHI)D2/27869Y13|Dengue_2|WG|External|2013-06-15|2013.45205479452","Singapore","NA","2013-06-15",1.357107,103.8194992,"SEA",2013
"Indonesia|Makassar|KC762679|MKS-WS79a|Dengue_2|WG|External|2010-03-29|2010.23835616438","Indonesia","Makassar","2010-03-29",-2.4833826,117.8902853,"SEA",2010
"Indonesia|Makassar|KC762680|MKS-WS80|Dengue_2|WG|External|2010-04-05|2010.25753424658","Indonesia","Makassar","2010-04-05",-2.4833826,117.8902853,"SEA",2010
"Taiwan|NA|MG895022||Dengue_2|E|External|2013-03-08|2013.18082191781","Taiwan","NA","2013-03-08",23.9739374,120.9820179,"SEA",2013
"China|NA|MW721474|GZ8H/2019127/2010/II|Dengue_2|WG|External|2010-10-15|2010.78630136986","China","NA","2010-10-15",35.000074,104.999927,"SEA",2010
"China|NA|MW721475|GZ8H/2019132/2010/II|Dengue_2|WG|External|2010-10-15|2010.78630136986","China","NA","2010-10-15",35.000074,104.999927,"SEA",2010
"China|Guangdong|KP723479|DENV2/CN/GZ32/2010|Dengue_2|WG|External|2010-06-15|2010.45205479452","China","Guangdong","2010-06-15",35.000074,104.999927,"SEA",2010
"China|Guangdong|JX470186|GZ40|Dengue_2|WG|External|2010-06-15|2010.45205479452","China","Guangdong","2010-06-15",35.000074,104.999927,"SEA",2010
"Taiwan|NA|MG895149||Dengue_2|E|External|2016-07-14|2016.53150684932","Taiwan","NA","2016-07-14",23.9739374,120.9820179,"SEA",2016
"China|Guangzhou|JN009091|serum|Dengue_2|E|External|2010-06-15|2010.45205479452","China","Guangzhou","2010-06-15",35.000074,104.999927,"SEA",2010
